"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"1999"	"1999"	555	4430141	12.53	12.46
	"Alabama"	"01"	"2000"	"2000"	583	4447100	13.11	13.10
	"Alabama"	"01"	"2001"	"2001"	512	4467634	11.46	11.38
	"Alabama"	"01"	"2002"	"2002"	514	4480089	11.47	11.44
	"Alabama"	"01"	"2003"	"2003"	521	4503491	11.57	11.44
	"Alabama"	"01"	"2004"	"2004"	541	4530729	11.94	11.75
	"Alabama"	"01"	"2005"	"2005"	535	4569805	11.71	11.51
	"Alabama"	"01"	"2006"	"2006"	580	4628981	12.53	12.37
	"Alabama"	"01"	"2007"	"2007"	592	4672840	12.67	12.42
	"Alabama"	"01"	"2008"	"2008"	604	4718206	12.80	12.55
	"Alabama"	"01"	"2009"	"2009"	673	4757938	14.14	13.73
	"Alabama"	"01"	"2010"	"2010"	679	4779736	14.21	13.96
	"Alabama"	"01"	"2011"	"2011"	654	4799918	13.63	13.21
	"Alabama"	"01"	"2012"	"2012"	724	4815960	15.03	14.71
	"Alabama"	"01"	"2013"	"2013"	721	4829479	14.93	14.40
	"Alabama"	"01"	"2014"	"2014"	715	4843214	14.76	14.52
	"Alabama"	"01"	"2015"	"2015"	750	4853875	15.45	14.94
	"Alabama"	"01"	"2016"	"2016"	788	4863300	16.20	15.64
	"Alaska"	"02"	"1999"	"1999"	96	624779	15.37	16.80
	"Alaska"	"02"	"2000"	"2000"	137	626932	21.85	21.46
	"Alaska"	"02"	"2001"	"2001"	102	633714	16.10	15.94
	"Alaska"	"02"	"2002"	"2002"	132	642337	20.55	20.78
	"Alaska"	"02"	"2003"	"2003"	124	648414	19.12	20.33
	"Alaska"	"02"	"2004"	"2004"	155	659286	23.51	23.02
	"Alaska"	"02"	"2005"	"2005"	131	666946	19.64	19.90
	"Alaska"	"02"	"2006"	"2006"	135	675302	19.99	19.92
	"Alaska"	"02"	"2007"	"2007"	149	680300	21.90	22.54
	"Alaska"	"02"	"2008"	"2008"	169	687455	24.58	24.34
	"Alaska"	"02"	"2009"	"2009"	143	698895	20.46	20.00
	"Alaska"	"02"	"2010"	"2010"	164	710231	23.09	22.79
	"Alaska"	"02"	"2011"	"2011"	143	722713	19.79	20.03
	"Alaska"	"02"	"2012"	"2012"	168	731089	22.98	23.09
	"Alaska"	"02"	"2013"	"2013"	171	736879	23.21	23.14
	"Alaska"	"02"	"2014"	"2014"	167	736705	22.67	22.09
	"Alaska"	"02"	"2015"	"2015"	201	737709	27.25	26.92
	"Alaska"	"02"	"2016"	"2016"	193	741894	26.01	25.78
	"Arizona"	"04"	"1999"	"1999"	766	5023823	15.25	15.52
	"Arizona"	"04"	"2000"	"2000"	784	5130632	15.28	15.59
	"Arizona"	"04"	"2001"	"2001"	767	5273477	14.54	14.78
	"Arizona"	"04"	"2002"	"2002"	886	5396255	16.42	16.63
	"Arizona"	"04"	"2003"	"2003"	840	5510364	15.24	15.54
	"Arizona"	"04"	"2004"	"2004"	880	5652404	15.57	15.82
	"Arizona"	"04"	"2005"	"2005"	945	5839077	16.18	16.36
	"Arizona"	"04"	"2006"	"2006"	979	6029141	16.24	16.34
	"Arizona"	"04"	"2007"	"2007"	1016	6167681	16.47	16.53
	"Arizona"	"04"	"2008"	"2008"	972	6280362	15.48	15.47
	"Arizona"	"04"	"2009"	"2009"	1060	6343154	16.71	16.71
	"Arizona"	"04"	"2010"	"2010"	1093	6392017	17.10	17.00
	"Arizona"	"04"	"2011"	"2011"	1160	6467163	17.94	17.85
	"Arizona"	"04"	"2012"	"2012"	1156	6549634	17.65	17.29
	"Arizona"	"04"	"2013"	"2013"	1163	6624617	17.56	17.51
	"Arizona"	"04"	"2014"	"2014"	1244	6719993	18.51	18.05
	"Arizona"	"04"	"2015"	"2015"	1276	6817565	18.72	18.23
	"Arizona"	"04"	"2016"	"2016"	1271	6931071	18.34	17.65
