state,year,deaths,population,crude_rate,age_adjusted_rate
Alabama,1999,555,4430141,12.53,12.46
Alabama,2000,583,4447100,13.11,13.1
Alabama,2001,512,4467634,11.46,11.38
Alabama,2002,514,4480089,11.47,11.44
Alabama,2003,521,4503491,11.57,11.44
Alabama,2004,541,4530729,11.94,11.75
Alabama,2005,535,4569805,11.71,11.51
Alabama,2006,580,4628981,12.53,12.37
Alabama,2007,592,4672840,12.67,12.42
Alabama,2008,604,4718206,12.8,12.55
Alabama,2009,673,4757938,14.14,13.73
Alabama,2010,679,4779736,14.21,13.96
Alabama,2011,654,4799918,13.63,13.21
Alabama,2012,724,4815960,15.03,14.71
Alabama,2013,721,4829479,14.93,14.4
Alabama,2014,715,4843214,14.76,14.52
Alabama,2015,750,4853875,15.45,14.94
Alabama,2016,788,4863300,16.2,15.64
Alaska,1999,96,624779,15.37,16.8
Alaska,2000,137,626932,21.85,21.46
Alaska,2001,102,633714,16.1,15.94
Alaska,2002,132,642337,20.55,20.78
Alaska,2003,124,648414,19.12,20.33
Alaska,2004,155,659286,23.51,23.02
Alaska,2005,131,666946,19.64,19.9
Alaska,2006,135,675302,19.99,19.92
Alaska,2007,149,680300,21.9,22.54
Alaska,2008,169,687455,24.58,24.34
Alaska,2009,143,698895,20.46,20
Alaska,2010,164,710231,23.09,22.79
Alaska,2011,143,722713,19.79,20.03
Alaska,2012,168,731089,22.98,23.09
Alaska,2013,171,736879,23.21,23.14
Alaska,2014,167,736705,22.67,22.09
Alaska,2015,201,737709,27.25,26.92
Alaska,2016,193,741894,26.01,25.78
Arizona,1999,766,5023823,15.25,15.52
Arizona,2000,784,5130632,15.28,15.59
Arizona,2001,767,5273477,14.54,14.78
Arizona,2002,886,5396255,16.42,16.63
Arizona,2003,840,5510364,15.24,15.54
Arizona,2004,880,5652404,15.57,15.82
Arizona,2005,945,5839077,16.18,16.36
Arizona,2006,979,6029141,16.24,16.34
Arizona,2007,1016,6167681,16.47,16.53
Arizona,2008,972,6280362,15.48,15.47
Arizona,2009,1060,6343154,16.71,16.71
Arizona,2010,1093,6392017,17.1,17
Arizona,2011,1160,6467163,17.94,17.85
Arizona,2012,1156,6549634,17.65,17.29
Arizona,2013,1163,6624617,17.56,17.51
Arizona,2014,1244,6719993,18.51,18.05
Arizona,2015,1276,6817565,18.72,18.23
Arizona,2016,1271,6931071,18.34,17.65
Arkansas,1999,336,2651860,12.67,12.64
Arkansas,2000,349,2673400,13.05,12.99
Arkansas,2001,382,2691571,14.19,14.24
Arkansas,2002,377,2705927,13.93,13.97
Arkansas,2003,374,2724816,13.73,13.61
Arkansas,2004,361,2749686,13.13,13.01
Arkansas,2005,400,2781097,14.38,14.33
Arkansas,2006,376,2821761,13.33,13.28
Arkansas,2007,402,2848650,14.11,14.23
Arkansas,2008,447,2874554,15.55,15.5
Arkansas,2009,422,2896843,14.57,14.46
Arkansas,2010,447,2915918,15.33,15.47
Arkansas,2011,462,2939493,15.72,15.97
Arkansas,2012,485,2950685,16.44,16.27
Arkansas,2013,516,2958663,17.44,17.33
Arkansas,2014,515,2966912,17.36,17.29
Arkansas,2015,577,2977853,19.38,19.12
Arkansas,2016,555,2988248,18.57,18.19
California,1999,3077,33499204,9.19,9.59
California,2000,2969,33871648,8.77,9.15
California,2001,2831,34479458,8.21,8.51
California,2002,3228,34871843,9.26,9.58
California,2003,3397,35253159,9.64,9.89
California,2004,3368,35574576,9.47,9.66
California,2005,3206,35827943,8.95,9.1
California,2006,3334,36021202,9.26,9.32
California,2007,3602,36250311,9.94,9.93
California,2008,3775,36604337,10.31,10.28
California,2009,3823,36961229,10.34,10.21
California,2010,3913,37253956,10.5,10.33
California,2011,3996,37676861,10.61,10.41
California,2012,3893,38011074,10.24,10.02
California,2013,4025,38335203,10.5,10.21
California,2014,4214,38680810,10.89,10.55
California,2015,4167,38993940,10.69,10.32
California,2016,4294,39250017,10.94,10.52
Colorado,1999,574,4226018,13.58,13.71
Colorado,2000,613,4301261,14.25,14.32
Colorado,2001,722,4425687,16.31,16.5
Colorado,2002,727,4490406,16.19,16.2
Colorado,2003,728,4528732,16.08,16.11
Colorado,2004,797,4575013,17.42,17.23
Colorado,2005,800,4631888,17.27,17.24
Colorado,2006,730,4720423,15.46,15.31
Colorado,2007,811,4803868,16.88,16.63
Colorado,2008,803,4889730,16.42,16.12
Colorado,2009,941,4972195,18.93,18.74
Colorado,2010,865,5029196,17.2,16.77
Colorado,2011,913,5118360,17.84,17.49
Colorado,2012,1052,5189867,20.27,19.67
Colorado,2013,1007,5267603,19.12,18.55
Colorado,2014,1083,5349648,20.24,19.88
Colorado,2015,1093,5448819,20.06,19.5
Colorado,2016,1168,5540545,21.08,20.48
Connecticut,1999,274,3386401,8.09,7.94
Connecticut,2000,304,3405565,8.93,8.75
Connecticut,2001,283,3432835,8.24,8.12
Connecticut,2002,260,3458749,7.52,7.31
Connecticut,2003,272,3484336,7.81,7.55
Connecticut,2004,294,3496094,8.41,8.16
Connecticut,2005,295,3506956,8.41,8.13
Connecticut,2006,292,3517460,8.3,7.97
Connecticut,2007,271,3527270,7.68,7.32
Connecticut,2008,315,3545579,8.88,8.47
Connecticut,2009,316,3561807,8.87,8.5
Connecticut,2010,353,3574097,9.88,9.37
Connecticut,2011,370,3589893,10.31,9.8
Connecticut,2012,368,3593795,10.24,9.88
Connecticut,2013,330,3596003,9.18,8.73
Connecticut,2014,379,3591873,10.55,9.78
Connecticut,2015,384,3584730,10.71,9.89
Connecticut,2016,397,3576452,11.1,10.11
Delaware,1999,86,774990,11.1,11.05
Delaware,2000,82,783600,10.46,10.42
Delaware,2001,108,795699,13.57,13.46
Delaware,2002,74,806169,9.18,9.11
Delaware,2003,94,818003,11.49,11.35
Delaware,2004,93,830803,11.19,11.02
Delaware,2005,83,845150,9.82,9.66
Delaware,2006,91,859268,10.59,10.32
Delaware,2007,95,871749,10.9,10.59
Delaware,2008,109,883874,12.33,11.91
Delaware,2009,107,891730,12,11.7
Delaware,2010,106,897934,11.8,11.34
Delaware,2011,105,907924,11.56,11
Delaware,2012,125,916993,13.63,13.17
Delaware,2013,122,925395,13.18,12.48
Delaware,2014,126,934948,13.48,13.15
Delaware,2015,122,944076,12.92,12.61
Delaware,2016,119,952065,12.5,11.47
District of Columbia,1999,30,570213,5.26,5.12
District of Columbia,2000,23,572059,4.02,3.82
District of Columbia,2001,40,574504,6.96,6.52
District of Columbia,2002,31,573158,5.41,5.15
District of Columbia,2003,36,568502,6.33,6.12
District of Columbia,2004,33,567754,5.81,5.54
District of Columbia,2005,33,567136,5.82,5.39
District of Columbia,2006,30,570681,5.26,5.2
District of Columbia,2007,36,574404,6.27,5.98
District of Columbia,2008,43,580236,7.41,7.32
District of Columbia,2009,29,592228,4.9,4.44
District of Columbia,2010,41,601723,6.81,6.88
District of Columbia,2011,37,620477,5.96,5.5
District of Columbia,2012,37,635327,5.82,5.64
District of Columbia,2013,38,649165,5.85,5.73
District of Columbia,2014,52,659005,7.89,7.79
District of Columbia,2015,34,670377,5.07,4.86
District of Columbia,2016,40,681170,5.87,5.2
Florida,1999,2029,15759421,12.87,12.23
Florida,2000,2086,15982378,13.05,12.41
Florida,2001,2314,16356966,14.15,13.46
Florida,2002,2338,16689370,14.01,13.33
Florida,2003,2297,17004085,13.51,12.84
Florida,2004,2389,17415318,13.72,13.04
Florida,2005,2347,17842038,13.15,12.48
Florida,2006,2440,18166990,13.43,12.58
Florida,2007,2587,18367842,14.08,13.22
Florida,2008,2740,18527305,14.79,13.85
Florida,2009,2858,18652644,15.32,14.38
Florida,2010,2789,18801310,14.83,13.68
Florida,2011,2880,19096952,15.08,13.91
Florida,2012,3002,19344156,15.52,14.33
Florida,2013,2928,19582022,14.95,13.75
Florida,2014,3035,19888741,15.26,13.89
Florida,2015,3205,20244914,15.83,14.44
Florida,2016,3143,20612439,15.25,13.95
Georgia,1999,873,8045965,10.85,11.16
Georgia,2000,847,8186453,10.35,10.67
Georgia,2001,935,8377038,11.16,11.4
Georgia,2002,909,8508256,10.68,11.05
Georgia,2003,972,8622793,11.27,11.6
Georgia,2004,973,8769252,11.1,11.32
Georgia,2005,924,8925922,10.35,10.58
Georgia,2006,923,9155813,10.08,10.27
Georgia,2007,997,9349988,10.66,10.87
Georgia,2008,981,9504843,10.32,10.4
Georgia,2009,1134,9620846,11.79,11.85
Georgia,2010,1133,9687653,11.7,11.66
Georgia,2011,1157,9811610,11.79,11.71
Georgia,2012,1168,9914668,11.78,11.67
Georgia,2013,1212,9984938,12.14,11.97
Georgia,2014,1295,10087231,12.84,12.66
Georgia,2015,1317,10199398,12.91,12.71
Georgia,2016,1409,10310371,13.67,13.34
Hawaii,1999,136,1210300,11.24,11.09
Hawaii,2000,137,1211537,11.31,11.19
Hawaii,2001,136,1225948,11.09,10.89
Hawaii,2002,120,1239613,9.68,9.48
Hawaii,2003,131,1251154,10.47,10.17
Hawaii,2004,116,1273569,9.11,8.86
Hawaii,2005,107,1292729,8.28,8.14
